,Project Name,Neighborhood,Zip Code,TtlProjUnits,RentUnits,OwnUnits,TtlMarket,MarketRent,MarketOwn,Total Income-Restricted,Income-Restricted Rental,Income-Restricted Ownership,Tenure,Public/ Private,Includes Senior Units?,Section 8
10,Alleyne (VUP) CDFI,Roxbury,02121,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,
18,Andrade (VUP),Dorchester,02122,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,
19,Andrew Square Apts,South Boston,02127,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,
41,Bailey (VUP),Roxbury,02121,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,
45,Baptista (VUP),Dorchester,02125,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,
50,Basilica (667-6),Charlestown,02129,5,5,0,0.0,0.0,0.0,5,5,0.0,Rental,Public,Y,
54,Bay Cove Group Homes IV,Dorchester,02125,9,9,0,1.0,1.0,0.0,8,8,0.0,Rental,Private,,
58,Beasley (VUP),Dorchester,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
65,BHA Infill 2 - Urban Edge,Roxbury,02119,15,5,10,0.0,0.0,0.0,15,5,10.0,Ownership/Rental,Private,,
66,BHA Infill 3 - Nuestra,Roxbury,02119,10,4,6,0.0,0.0,0.0,10,4,6.0,Ownership/Rental,Private,,
76,Bird St. Estates,Roxbury,02125,8,1,7,0.0,0.0,0.0,8,1,7.0,Ownership/Rental,Private,,
83,Blue Hill Commons,Roxbury,02119,8,1,7,0.0,0.0,0.0,8,1,7.0,Ownership/Rental,Private,,
94,Bowdoin Geneva Phase III (HOME AGAIN),Dorchester,02122,20,2,18,0.0,0.0,0.0,20,2,18.0,Ownership/Rental,Private,,
98,Bowdoin/Geneva (Phase II),Dorchester,02125,10,5,5,2.0,1.0,1.0,8,4,4.0,Ownership/Rental,Private,,
99,Bowdoin-Geneva & Dudley FTHB,Dorchester,02125,3,2,1,0.0,0.0,0.0,3,2,1.0,Ownership/Rental,Private,,
100,Bowdoin-Geneva & Dudley Rental,Roxbury,02119,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
101,Bowen (VUP),Dorchester,02124,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
105,Bradlee-Fowler,Dorchester,02124,3,1,2,0.0,0.0,0.0,3,1,2.0,Ownership/Rental,Private,,
108,Brantley (VUP),Mattapan,02126,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
109,Braxton (VUP),Dorchester,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
117,"Brookford, Dalin and Dean St. Homes (Julian Phase 2 HOME AGAIN)",Roxbury,02125,18,1,17,0.0,0.0,0.0,18,1,17.0,Ownership/Rental,Private,,
119,Brookview House,Dorchester,02124,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,
122,Brown (VUP),Dorchester,02121,3,2,1,1.0,0.0,1.0,2,2,0.0,Ownership/Rental,Private,,
123,"Brown, J & D (VUP)",Roxbury,02121,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,
126,Brunswick Street,Dorchester,02121,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
142,Callender|Floyd|Stratton NHI 1,Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
143,Callender|Floyd|Stratton NHI 2,Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
145,Callender|Floyd|Stratton NHI 4,Mattapan,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
146,Callender|Floyd|Stratton NHI 5,Mattapan,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
148,Callender|Floyd|Stratton NHI 7,Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership,Private,,
149,Callender|Floyd|Stratton NHI 8,Mattapan,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
151,Callender|Tucker NHI 1,Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership,Private,,
152,Callender|Tucker NHI 2,Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
153,Callender|Tucker NHI 3,Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership,Private,,
154,Callender|Tucker NHI 4,Dorchester,02124,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership,Private,,
158,Cardella (VUP),South Boston,02127,2,1,1,0.0,0.0,0.0,2,1,1.0,Ownership/Rental,Private,,
166,Carroll (VUP),Roxbury,02125,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
167,Carvalho (VUP),Dorchester,02122,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,
168,Cary Cottage,Roxbury,02119,10,10,0,0.0,0.0,0.0,10,10,0.0,Rental,Private,,
169,Casa Familias Unidas,Roxbury,02119,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,
171,Casa Nueva Vida,Jamaica Plain,02130,7,7,0,0.0,0.0,0.0,7,7,0.0,Rental,Private,,
181,Chaisson (VUP),Dorchester,02125,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
196,Chestnut Avenue (p/o Self Help Apts),Jamaica Plain,02130,3,3,0,0.0,0.0,0.0,3,3,0.0,Rental,Private,,
212,Columbia Road/Lighthouse,Dorchester,02125,4,4,0,0.0,0.0,0.0,4,4,0.0,Rental,Private,,
221,Condor-Havre Garden Apartments,East Boston,02128,7,7,0,0.0,0.0,0.0,7,7,0.0,Rental,Private,,
235,Crawford House Apts,Roxbury,02121,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,Y
242,DaRosa (VUP),Dorchester,02122,1,1,0,0.0,0.0,0.0,1,1,0.0,Rental,Private,,
246,Davis (VUP),Roxbury,02125,2,2,0,0.0,0.0,0.0,2,2,0.0,Rental,Private,,
248,DeMarco (VUP),East Boston,02128,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
251,DiGirolamo (VUP),East Boston,02128,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
252,Dillon (VUP),Dorchester,02122,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
255,Disilvio (VUP),East Boston,02128,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
259,Domicilia I & II,Dorchester,02122,10,10,0,0.0,0.0,0.0,10,10,0.0,Rental,Private,Y,Y
260,Domicilia III,Jamaica Plain,02130,8,8,0,0.0,0.0,0.0,8,8,0.0,Rental,Private,,Y
270,Dumas|Mascot Neighborhood Homes,Dorchester,02124,7,3,4,2.0,1.0,1.0,5,2,3.0,Ownership/Rental,Private,,
271,Dunmore Place,Roxbury,02119,6,6,0,0.0,0.0,0.0,6,6,0.0,Rental,Private,,
272,Dwight St Apts,South End,02118,9,9,0,0.0,0.0,0.0,9,9,0.0,Rental,Private,,
287,Elven Road,Roslindale,02131,8,3,5,0.0,0.0,0.0,8,3,5.0,Ownership/Rental,Private,,
289,Epps (VUP),Dorchester,02121,2,1,1,1.0,0.0,1.0,1,1,0.0,Ownership/Rental,Private,,
303,FDIC Scattered Site Condo Project,Brighton,02135,9,4,5,0.0,0.0,0.0,9,4,5.0,Ownership/Rental,Private,,
308,Fenwick Gardens - Home Again,Dorchester,02125,15,1,14,0.0,0.0,0.0,15,1,14.0,Ownership/Rental,Private,,
