,Neighborhood,Building Address,For Current Vacancies and More Information,Number of Units Tracked,Bedroom Sizes,AMI Categories,coordinates
0,Allston,8 Griggs Street,The Mount Vernon Company: 617.267.0006,2.0,1BR,80-100%; 100%,"(42.34832965, -71.1335027927453, '02134')"
1,Allston,31 North Beacon Street,Carol Fiore: cfiore@78clean.com,3.0,"Studio, 1BR, 2BR",70%,"(42.3539088, -71.138789, '02134')"
2,Allston,40 Malvern Street,40Malvern@maloneyproperties.com,6.0,"1BR, 2BR",70%,"(42.35401755, -71.12501488618213, '02134')"
3,Allston,450 Cambridge Street,"Maloney Properties: 617.209.5406
450Cambridge@maloneyproperties.com",5.0,"1BR, 2BR",70%,"(42.371297999999996, -71.08374705491829, '02141')"
4,Allston,1505 Commonwealth Avenue,LBC Boston: 617.599.7261,10.0,"Studio, 1BR, 2BR",70%,"(42.3470837, -71.141587607862, '02135')"
5,Allston,"Continuum
219 Western Avenue",Continuum@maloneyproperties.com,42.0,"Studio, 1BR, 2BR, 3BR",70%,"(<NA>, <NA>, <NA>)"
6,Allston,"The Eco Allston
75 Brainerd Road",National Development: 857.576.6160,14.0,"Studio, 1BR, 2BR",70%,"(<NA>, <NA>, <NA>)"
7,Allston,"The Edge
60–66 Brainerd Road",National Development: 857.576.6160,10.0,"Studio, 1BR, 2BR",70%,"(<NA>, <NA>, <NA>)"
8,Allston,"The Element
65 Brainerd Road",National Development: 857.576.6160,4.0,"Studio, 1BR",70%,"(<NA>, <NA>, <NA>)"
9,Allston,"The Gateway
1298 & 1302 Commonwealth Ave",Mount Vernon: 617.267.0006,8.0,"Studio, 1BR",70%,"(<NA>, <NA>, <NA>)"
10,Allston,"The Radius Apartments
530 Western Avenue ",Radius@maloneyproperties.com,17.0,"micro, studio, 1BD, 2BD",70%,"(<NA>, <NA>, <NA>)"
11,Allston,"Trac 75
75 Braintree Street","Dolben: 617-539-7575
trac75@dolben.com",11.0,"Studio, 1BR, 2BR, 3BR",70%,"(42.3565213, -71.13580614814815, '02134')"
12,Back Bay,"30 Dalton
30 Dalton Street",Bozzuto Management Co.: 617.302.9874,14.0,"1BR, 2BR",70%,"(42.345961200000005, -71.08478743194442, '02115')"
13,Back Bay,"Avalon @ Exeter
77 Exeter Street",Avalon Communities: 617.236.1369,6.0,"Studio, 1BR",80-120%,"(42.34869435, -71.07938797438223, '02116')"
14,Back Bay,"Avalon @ Prudential
780 Boylston Street",Avalon Communities: 617.536.9300,60.0,"Studio, 1BR, 2BR","65%, 65-80%, 80-100%, 100% 4persons, 100-120%","(42.3481144, -71.07962649136773, '02116')"
15,Back Bay,"Mandarin Oriental
778 Boylston Street","Maloney Properties: 617.209.5406
Mandarin@maloneyproperties.com",10.0,"1BR, 2BR","80%, 80-100%, 90%, 100-120%","(<NA>, <NA>, <NA>)"
16,Brighton,150 Chestnut Hill Avenue,"Maloney Properties: 617.209.5406
150Chestnut@maloneyproperties.com",3.0,2BR,70%,"(42.34183565, -71.1535721253632, '02135')"
17,Brighton,375 Market Street,"Maloney Properties: 617.209.5406
 375Market@maloneyproperties.com",5.0,"1BR, 2BR, 3BR",60-80%,"(42.3505958, -71.1533287, '02135')"
18,Brighton,"Hichblock
24-26 Hichborn Street","Maloney Properties: 617.209.5406
24Hichborn@maloneyproperties.com",3.0,3BR,70%,"(<NA>, <NA>, <NA>)"
19,Brighton,"St. Gabriel's Apartments
159-201 Washington Street",StGabriels@maloneyproperties.com,83.0,"micro, studio, 1BR, 2BR, 3BR","70%, 150%","(<NA>, <NA>, <NA>)"
20,Brighton,"Waterstone at the Circle
385 Chestnut Hill Avenue","Maloney Properties: 857-325-3703
Waterstone@maloneyproperties.com",12.0,"1BR, 2BR",70%,"(<NA>, <NA>, <NA>)"
21,Charlestown,"Building 33 @ the Navy Yard
33 Third Avenue","Longwood Properties, Inc.: 617.566.3100",6.0,"Studio, 1BR, 2 BR",70%,"(<NA>, <NA>, <NA>)"
22,Charlestown,"Gatehouse 75
75 West School Street","Maloney Properties: 617.209.5406
Gatehouse75@maloneyproperties.com",13.0,"Studio, 1BR, 2BR",70%,"(42.375622050000004, -71.06789707748516, '02129')"
